Name,X1,X2,P1,P2,Line,Label
TEE 1 of BRANCH /P-ME003-H22A-007/B1,-335,-335,-2.4105,-155.117,-8888,63
TEE 1 of BRANCH /P-ME003-H22A-007/B1,-334,-335,-156.1264,-155.117,4,64
STRT 4 of BRANCH /P-ME003-H22A-007/B1,-333,-334,-159.6255,-156.1264,4,64
BEND 4 of BRANCH /P-ME003-H22A-007/B1,-332,-333,-159.6255,-159.6255,4,64
STRT 3 of BRANCH /P-ME003-H22A-007/B1,-331,-332,-161.0722,-159.6255,4,64
BEND 3 of BRANCH /P-ME003-H22A-007/B1,-330,-331,-161.0722,-161.0722,4,64
STRT 2 of BRANCH /P-ME003-H22A-007/B1,-329,-330,-168.3619,-161.0722,4,64
BEND 2 of BRANCH /P-ME003-H22A-007/B1,-328,-329,-168.3619,-168.3619,4,64
STRT 1 of BRANCH /P-ME003-H22A-007/B1,-327,-328,-172.9488,-168.3619,4,64
BEND 1 of BRANCH /P-ME003-H22A-007/B1,-326,-327,-172.9488,-172.9488,4,64
STRT 15 of BRANCH /P-ME003-H22A-006/B1,-325,-326,-180.5413,-172.9488,4,64
BEND 11 of BRANCH /P-ME003-H22A-006/B1,-324,-325,-180.5413,-180.5413,4,64
STRT 14 of BRANCH /P-ME003-H22A-006/B1,-323,-324,-183.0871,-180.5413,4,64
BEND 10 of BRANCH /P-ME003-H22A-006/B1,-322,-323,-183.0871,-183.0871,4,64
STRT 13 of BRANCH /P-ME003-H22A-006/B1,-321,-322,-184.2086,-183.0871,4,64
BEND 9 of BRANCH /P-ME003-H22A-006/B1,-320,-321,-184.2086,-184.2086,4,64
STRT 12 of BRANCH /P-ME003-H22A-006/B1,-319,-320,-185.3525,-184.2086,4,64
TAPER 1 of BRANCH /P-ME003-H22A-006/B1,-280,-319,-199.7996,-185.3525,4,64
FLEXIBLE 1 of BRANCH /P-ME003-021/B5,-317,-318,-2.4017,0,1011,65
STRT 4 of BRANCH /P-ME003-021/B5,-316,-317,-2.5354,-2.4017,11,65
BEND 2 of BRANCH /P-ME003-021/B5,-315,-316,-2.5354,-2.5354,11,65
STRT 3 of BRANCH /P-ME003-021/B5,-312,-315,-5.3508,-2.5354,11,65
FLEXIBLE 1 of BRANCH /P-ME003-021/B8,-313,-314,-2.4017,0,1012,66
STRT 1 of BRANCH /P-ME003-021/B8,-312,-313,-3.2398,-2.4017,12,66
TEE 1 of BRANCH /P-ME003-021/B5,-312,-312,-3.2398,-5.3508,-8888,67
TEE 1 of BRANCH /P-ME003-021/B5,-311,-312,-5.732,-5.3508,11,68
STRT 2 of BRANCH /P-ME003-021/B5,-310,-311,-10.4352,-5.732,11,68
BEND 1 of BRANCH /P-ME003-021/B5,-309,-310,-10.4352,-10.4352,11,68
STRT 1 of BRANCH /P-ME003-021/B5,-308,-309,-23.7728,-10.4352,11,68
DAMPER 1 of BRANCH /P-ME003-921/B2,-307,-308,-34.3326,-23.7728,11,68
STRT 7 of BRANCH /P-ME003-021/B6,-306,-307,-43.6246,-34.3326,11,68
BEND 4 of BRANCH /P-ME003-021/B6,-305,-306,-43.6246,-43.6246,11,68
STRT 6 of BRANCH /P-ME003-021/B6,-304,-305,-44.144,-43.6246,11,68
BEND 3 of BRANCH /P-ME003-021/B6,-303,-304,-44.144,-44.144,11,68
STRT 5 of BRANCH /P-ME003-021/B6,-302,-303,-49.0712,-44.144,11,68
BEND 2 of BRANCH /P-ME003-021/B6,-301,-302,-49.0712,-49.0712,11,68
STRT 4 of BRANCH /P-ME003-021/B6,-300,-301,-49.6621,-49.0712,11,68
BEND 1 of BRANCH /P-ME003-021/B6,-299,-300,-49.6621,-49.6621,11,68
STRT 3 of BRANCH /P-ME003-021/B6,-296,-299,-50.1398,-49.6621,11,68
STRT (=469784170/40638),-297,-298,-2.4152,0,1019,69
FLEXIBLE 1 of BRANCH /P-ME003-021/B7,-296,-297,-2.4151,-2.4152,19,69
TEE 1 of BRANCH /P-ME003-021/B6,-296,-296,-2.4151,-50.1398,-8888,70
TEE 1 of BRANCH /P-ME003-021/B6,-295,-296,-50.9476,-50.1398,11,71
STRT 2 of BRANCH /P-ME003-021/B6,-294,-295,-52.4017,-50.9476,11,71
STRT 1 of BRANCH /P-ME003-021/B6,-293,-294,-53.6336,-52.4017,11,71
STRT 6 of BRANCH /P-ME003-H22A-008/B1,-290,-293,-58.3505,-53.6336,11,71
STRT (=469784170/40641),-291,-292,-2.4152,0,1020,72
FLEXIBLE 1 of BRANCH /P-ME003-072/B7,-290,-291,-2.4128,-2.4152,20,72
TEE 1 of BRANCH /P-ME003-H22A-008/B1,-290,-290,-2.4128,-58.3505,-8888,73
TEE 1 of BRANCH /P-ME003-H22A-008/B1,-289,-290,-59.7353,-58.3505,11,74
STRT 5 of BRANCH /P-ME003-H22A-008/B1,-288,-289,-61.899,-59.7353,11,74
BEND 4 of BRANCH /P-ME003-H22A-008/B1,-287,-288,-61.899,-61.899,11,74
STRT 4 of BRANCH /P-ME003-H22A-008/B1,-286,-287,-64.0455,-61.899,11,74
BEND 3 of BRANCH /P-ME003-H22A-008/B1,-285,-286,-64.0455,-64.0455,11,74
STRT 3 of BRANCH /P-ME003-H22A-008/B1,-284,-285,-94.9269,-64.0455,11,74
BEND 2 of BRANCH /P-ME003-H22A-008/B1,-283,-284,-94.9269,-94.9269,11,74
STRT 2 of BRANCH /P-ME003-H22A-008/B1,-282,-283,-100.8297,-94.9269,11,74
BEND 1 of BRANCH /P-ME003-H22A-008/B1,-281,-282,-100.8297,-100.8297,11,74
STRT 1 of BRANCH /P-ME003-H22A-008/B1,-280,-281,-124.7434,-100.8297,11,74
TEE 1 of BRANCH /P-ME003-H22A-006/B1,-280,-280,-124.7434,-199.7996,-8888,75
TEE 1 of BRANCH /P-ME003-H22A-006/B1,-279,-280,-200.7606,-199.7996,4,76
STRT 11 of BRANCH /P-ME003-H22A-006/B1,-278,-279,-202.5417,-200.7606,4,76
BEND 8 of BRANCH /P-ME003-H22A-006/B1,-277,-278,-202.5417,-202.5417,4,76
STRT 10 of BRANCH /P-ME003-H22A-006/B1,-276,-277,-203.5116,-202.5417,4,76
BEND 7 of BRANCH /P-ME003-H22A-006/B1,-275,-276,-203.5116,-203.5116,4,76
STRT 9 of BRANCH /P-ME003-H22A-006/B1,-274,-275,-203.829,-203.5116,4,76
STRT 8 of BRANCH /P-ME003-H22A-006/B1,-273,-274,-223.0329,-203.829,4,76
STRT 7 of BRANCH /P-ME003-H22A-006/B1,-272,-273,-242.4307,-223.0329,4,76
BEND 6 of BRANCH /P-ME003-H22A-006/B1,-271,-272,-242.4307,-242.4307,4,76
STRT 6 of BRANCH /P-ME003-H22A-006/B1,-270,-271,-243.7444,-242.4307,4,76
BEND 5 of BRANCH /P-ME003-H22A-006/B1,-269,-270,-243.7444,-243.7444,4,76
STRT 5 of BRANCH /P-ME003-H22A-006/B1,-268,-269,-248.153,-243.7444,4,76
BEND 4 of BRANCH /P-ME003-H22A-006/B1,-267,-268,-248.153,-248.153,4,76
STRT 4 of BRANCH /P-ME003-H22A-006/B1,-266,-267,-250.375,-248.153,4,76
BEND 3 of BRANCH /P-ME003-H22A-006/B1,-265,-266,-250.375,-250.375,4,76
STRT 3 of BRANCH /P-ME003-H22A-006/B1,-264,-265,-257.8696,-250.375,4,76
BEND 2 of BRANCH /P-ME003-H22A-006/B1,-263,-264,-257.8696,-257.8696,4,76
STRT 2 of BRANCH /P-ME003-H22A-006/B1,-262,-263,-258.7072,-257.8696,4,76
BEND 1 of BRANCH /P-ME003-H22A-006/B1,-261,-262,-258.7072,-258.7072,4,76
STRT 1 of BRANCH /P-ME003-H22A-006/B1,-260,-261,-259.8975,-258.7072,4,76
DAMPER 1 of BRANCH /P-ME003-H22A-901/B1,-259,-260,-296.4984,-259.8975,4,76
DAMPER 1 of BRANCH /P-ME003-H22A-005/B1,-258,-259,-332.5702,-296.4984,4,76
STRT 2 of BRANCH /P-ME003-H22A-005/B1,-257,-258,-333.3902,-332.5702,4,76
BEND 1 of BRANCH /P-ME003-H22A-005/B1,-256,-257,-333.3902,-333.3902,4,76
STRT 1 of BRANCH /P-ME003-H22A-005/B1,-18,-256,-335.2775,-333.3902,4,76
FLEXIBLE 1 of BRANCH /P-ME003-H23AF/B6,-451,-452,-2.4017,0,1022,77
STRT 2 of BRANCH /P-ME003-H23AF/B6,-450,-451,-3.5658,-2.4017,22,77
BEND 1 of BRANCH /P-ME003-H23AF/B6,-449,-450,-3.5658,-3.5658,22,77
STRT 1 of BRANCH /P-ME003-H23AF/B6,-448,-449,-3.7638,-3.5658,22,77
FLEXIBLE 1 of BRANCH /P-ME003-H23AF/B5,-457,-458,-2.4017,0,1021,78
STRT 4 of BRANCH /P-ME003-H23AF/B5,-456,-457,-3.5928,-2.4017,21,78
BEND 2 of BRANCH /P-ME003-H23AF/B5,-455,-456,-3.5928,-3.5928,21,78
STRT 3 of BRANCH /P-ME003-H23AF/B5,-454,-455,-3.7616,-3.5928,21,78
BEND 1 of BRANCH /P-ME003-H23AF/B5,-453,-454,-3.7616,-3.7616,21,78
STRT 2 of BRANCH /P-ME003-H23AF/B5,-448,-453,-4.5931,-3.7616,21,78
TEE 1 of BRANCH /P-ME003-H23AF/B5,-448,-448,-3.7638,-4.5931,-8888,79
TEE 1 of BRANCH /P-ME003-H23AF/B5,-447,-448,-4.9743,-4.5931,21,80
STRT 1 of BRANCH /P-ME003-H23AF/B5,-446,-447,-16.6918,-4.9743,21,80
STRT 7 of BRANCH /P-ME003-H22A-004/B1,-445,-446,-19.5176,-16.6918,21,80
BEND 4 of BRANCH /P-ME003-H22A-004/B1,-444,-445,-19.5176,-19.5176,21,80
STRT 6 of BRANCH /P-ME003-H22A-004/B1,-443,-444,-20.2657,-19.5176,21,80
BEND 3 of BRANCH /P-ME003-H22A-004/B1,-442,-443,-20.2657,-20.2657,21,80
STRT 5 of BRANCH /P-ME003-H22A-004/B1,-441,-442,-33.408,-20.2657,21,80
STRT 4 of BRANCH /P-ME003-H22A-004/B1,-438,-441,-37.6978,-33.408,21,80
FLEXIBLE 1 of BRANCH /P-ME003-022/B9,-439,-440,-2.4017,0,1031,81
STRT 1 of BRANCH /P-ME003-022/B9,-438,-439,-3.9007,-2.4017,31,81
TEE 2 of BRANCH /P-ME003-H22A-004/B1,-438,-438,-3.9007,-37.6978,-8888,82
TEE 2 of BRANCH /P-ME003-H22A-004/B1,-437,-438,-38.5056,-37.6978,21,83
STRT 3 of BRANCH /P-ME003-H22A-004/B1,-434,-437,-44.8987,-38.5056,21,83
FLEXIBLE 1 of BRANCH /P-ME003-022/B10,-435,-436,-2.4017,0,1032,84
STRT 1 of BRANCH /P-ME003-022/B10,-434,-435,-3.8983,-2.4017,32,84
TEE 1 of BRANCH /P-ME003-H22A-004/B1,-434,-434,-3.8983,-44.8987,-8888,85
TEE 1 of BRANCH /P-ME003-H22A-004/B1,-433,-434,-46.2835,-44.8987,21,86
STRT 2 of BRANCH /P-ME003-H22A-004/B1,-432,-433,-53.2768,-46.2835,21,86
BEND 2 of BRANCH /P-ME003-H22A-004/B1,-431,-432,-53.2768,-53.2768,21,86
STRT 1 of BRANCH /P-ME003-H22A-004/B1,-430,-431,-56.0811,-53.2768,21,86
BEND 1 of BRANCH /P-ME003-H22A-004/B1,-429,-430,-56.0811,-56.0811,21,86
STRT 7 of BRANCH /P-ME003-H22A-002/B1,-428,-429,-90.061,-56.0811,21,86
BEND 5 of BRANCH /P-ME003-H22A-002/B1,-427,-428,-90.061,-90.061,21,86
STRT 6 of BRANCH /P-ME003-H22A-002/B1,-426,-427,-93.2115,-90.061,21,86
BEND 4 of BRANCH /P-ME003-H22A-002/B1,-425,-426,-93.2115,-93.2115,21,86
STRT 5 of BRANCH /P-ME003-H22A-002/B1,-424,-425,-105.5363,-93.2115,21,86
TAPER 1 of BRANCH /P-ME003-H22A-002/B1,-390,-424,-140.4956,-105.5363,21,86
FLEXIBLE 1 of BRANCH /P-ME003-021/B4,-422,-423,-2.4017,0,1025,87
STRT 4 of BRANCH /P-ME003-021/B4,-421,-422,-2.5354,-2.4017,25,87
BEND 2 of BRANCH /P-ME003-021/B4,-420,-421,-2.5354,-2.5354,25,87
STRT 3 of BRANCH /P-ME003-021/B4,-417,-420,-5.3535,-2.5354,25,87
FLEXIBLE 1 of BRANCH /P-ME003-021/B3,-418,-419,-2.4017,0,1027,88
STRT 1 of BRANCH /P-ME003-021/B3,-417,-418,-3.2398,-2.4017,27,88
TEE 1 of BRANCH /P-ME003-021/B4,-417,-417,-3.2398,-5.3535,-8888,89
TEE 1 of BRANCH /P-ME003-021/B4,-416,-417,-5.7347,-5.3535,25,90
STRT 2 of BRANCH /P-ME003-021/B4,-415,-416,-9.7708,-5.7347,25,90
BEND 1 of BRANCH /P-ME003-021/B4,-414,-415,-9.7708,-9.7708,25,90
STRT 1 of BRANCH /P-ME003-021/B4,-413,-414,-23.1084,-9.7708,25,90
DAMPER 1 of BRANCH /P-ME003-921/B1,-412,-413,-33.6682,-23.1084,25,90
STRT 3 of BRANCH /P-ME003-021/B1,-411,-412,-41.7689,-33.6682,25,90
BEND 2 of BRANCH /P-ME003-021/B1,-410,-411,-41.7689,-41.7689,25,90
STRT 2 of BRANCH /P-ME003-021/B1,-409,-410,-42.8983,-41.7689,25,90
BEND 1 of BRANCH /P-ME003-021/B1,-408,-409,-42.8983,-42.8983,25,90
STRT 1 of BRANCH /P-ME003-021/B1,-405,-408,-50.0806,-42.8983,25,90
FLEXIBLE 1 of BRANCH /P-ME003-021/B2,-406,-407,-2.4017,0,1034,91
STRT 1 of BRANCH /P-ME003-021/B2,-405,-406,-2.9959,-2.4017,34,91
TEE 1 of BRANCH /P-ME003-021/B1,-405,-405,-2.9959,-50.0806,-8888,92
TEE 1 of BRANCH /P-ME003-021/B1,-404,-405,-50.8884,-50.0806,25,93
STRT 1 of BRANCH /P-ME003-021/B9,-403,-404,-53.847,-50.8884,25,93
STRT 6 of BRANCH /P-ME003-H22A-003/B1,-400,-403,-57.1805,-53.847,25,93
FLEXIBLE 1 of BRANCH /P-ME003-H22A-003/B2,-401,-402,-2.4017,0,1035,94
STRT 1 of BRANCH /P-ME003-H22A-003/B2,-400,-401,-2.9935,-2.4017,35,94
TEE 1 of BRANCH /P-ME003-H22A-003/B1,-400,-400,-2.9935,-57.1805,-8888,95
TEE 1 of BRANCH /P-ME003-H22A-003/B1,-399,-400,-58.5653,-57.1805,25,96
STRT 5 of BRANCH /P-ME003-H22A-003/B1,-398,-399,-93.1164,-58.5653,25,96
BEND 4 of BRANCH /P-ME003-H22A-003/B1,-397,-398,-93.1164,-93.1164,25,96
STRT 4 of BRANCH /P-ME003-H22A-003/B1,-396,-397,-99.7635,-93.1164,25,96
BEND 3 of BRANCH /P-ME003-H22A-003/B1,-395,-396,-99.7635,-99.7635,25,96
STRT 3 of BRANCH /P-ME003-H22A-003/B1,-394,-395,-115.7928,-99.7635,25,96
BEND 2 of BRANCH /P-ME003-H22A-003/B1,-393,-394,-115.7928,-115.7928,25,96
STRT 2 of BRANCH /P-ME003-H22A-003/B1,-392,-393,-121.6783,-115.7928,25,96
BEND 1 of BRANCH /P-ME003-H22A-003/B1,-391,-392,-121.6783,-121.6783,25,96
STRT 1 of BRANCH /P-ME003-H22A-003/B1,-390,-391,-125.1493,-121.6783,25,96
TEE 1 of BRANCH /P-ME003-H22A-002/B1,-390,-390,-125.1493,-140.4956,-8888,97
TEE 1 of BRANCH /P-ME003-H22A-002/B1,-389,-390,-141.1586,-140.4956,21,98
STRT 4 of BRANCH /P-ME003-H22A-002/B1,-388,-389,-143.5552,-141.1586,21,98
BEND 3 of BRANCH /P-ME003-H22A-002/B1,-387,-388,-143.5552,-143.5552,21,98
STRT 3 of BRANCH /P-ME003-H22A-002/B1,-386,-387,-144.3459,-143.5552,21,98
BEND 2 of BRANCH /P-ME003-H22A-002/B1,-385,-386,-144.3459,-144.3459,21,98
STRT 2 of BRANCH /P-ME003-H22A-002/B1,-384,-385,-152.01,-144.3459,21,98
BEND 1 of BRANCH /P-ME003-H22A-002/B1,-383,-384,-152.01,-152.01,21,98
STRT 1 of BRANCH /P-ME003-H22A-002/B1,-382,-383,-152.9224,-152.01,21,98
DAMPER 1 of BRANCH /P-ME003-H22A-901/B2,-381,-382,-177.5929,-152.9224,21,98
BEND 2 of BRANCH /P-ME003-H22A-001/B1,-380,-381,-177.5929,-177.5929,21,98
STRT 2 of BRANCH /P-ME003-H22A-001/B1,-379,-380,-178.1829,-177.5929,21,98
BEND 1 of BRANCH /P-ME003-H22A-001/B1,-378,-379,-178.1829,-178.1829,21,98
DAMPER 1 of BRANCH /P-ME003-H22A-001/B1,-377,-378,-202.4885,-178.1829,21,98
STRT 1 of BRANCH /P-ME003-H22A-001/B1,-18,-377,-203.8675,-202.4885,21,98
STRT 2 of BRANCH /T-ME003-022/B1,-18,-18,-449.6058,-335.2775,-8888,99
STRT 2 of BRANCH /T-ME003-022/B1,-18,-18,-335.2775,-203.8675,-8888,100
STRT 2 of BRANCH /T-ME003-022/B1,-17,-18,-458.172,-449.6058,1,101
STRT 1 of BRANCH /T-ME003-022/B1,-16,-17,-458.924,-458.172,1,101
STRT 1 of BRANCH /T-AR007-H22-901/B2,-15,-16,-459.4872,-458.924,1,101
STRT 1 of BRANCH /T-ME003-H32AL/B1,-4,-15,-462.6339,-459.4872,1,101
FLEXIBLE 1 of BRANCH /P-ME003-H32AF/B2,-13,-14,-2.0671,0,1036,102
TAPER 1 of BRANCH /P-ME003-H32AF/B2,-12,-13,-14.4215,-2.0671,36,102
STRT 2 of BRANCH /P-ME003-H32AF/B2,-11,-12,-15.3376,-14.4215,36,102
DAMPER 1 of BRANCH /P-ME003-H32AF/B2,-10,-11,-29.8006,-15.3376,36,102
STRT 1 of BRANCH /P-ME003-H32AF/B2,-9,-10,-32.5159,-29.8006,36,102
DAMPER 1 of BRANCH /P-ME003-H32AC/B1,-8,-9,-47.3715,-32.5159,36,102
STRT 2 of BRANCH /P-ME003-H32AF/B1,-7,-8,-57.3102,-47.3715,36,102
BEND 1 of BRANCH /P-ME003-H32AF/B1,-6,-7,-57.3102,-57.3102,36,102
STRT 1 of BRANCH /P-ME003-H32AF/B1,-5,-6,-58.6907,-57.3102,36,102
STRT 1 of BRANCH /T-ME003-H32AF/B2,-4,-5,407.5555,-58.6907,36,102
STRT 2 of BRANCH /T-ME003-H32AF/B1,-4,-4,407.5555,-462.6339,-8888,103
STRT 2 of BRANCH /T-ME003-H32AF/B1,-3,-4,-466.6814,-462.6339,1,104
STRT 1 of BRANCH /T-ME003-H32AC/B1,-2,-3,-466.8251,-466.6814,1,104
TRNS 1 of BRANCH /T-ME003-H32AC/B1,-1,-2,-466.9651,-466.8251,1,104
5121101030_EF-3,-1,1,-466.9651,23.2051,1,105
STRT (=469784171/25517),1,2,23.2051,0,1001,106
