Name,X1,X2,P1,P2,Line,Label
STRT 2 of BRANCH /P-ME003-001/B12,-205,-206,-195.5555,-193.1667,1,14
BEND 1 of BRANCH /P-ME003-001/B12,-204,-205,-195.5555,-195.5555,1,14
STRT 1 of BRANCH /P-ME003-001/B12,-203,-204,-212.0078,-195.5555,1,14
DAMPER 1 of BRANCH /P-ME003-901/B4,-202,-203,-246.7754,-212.0078,1,14
BEND 2 of BRANCH /P-ME003-001/B14,-201,-202,-246.7754,-246.7754,1,14
STRT 2 of BRANCH /P-ME003-001/B14,-200,-201,-249.0857,-246.7754,1,14
BEND 1 of BRANCH /P-ME003-001/B14,-199,-200,-249.0857,-249.0857,1,14
STRT 1 of BRANCH /P-ME003-001/B14,-198,-199,-255.5119,-249.0857,1,14
BEND 8 of BRANCH /P-ME003-001/B10,-197,-198,-255.5119,-255.5119,1,14
STRT 10 of BRANCH /P-ME003-001/B10,-196,-197,-259.852,-255.5119,1,14
TAPER 1 of BRANCH /P-ME003-001/B10,-158,-196,-274.2991,-259.852,1,14
FLEXIBLE 1 of BRANCH /P-ME003-011/B3,-194,-195,-2.4017,0,1008,15
STRT 6 of BRANCH /P-ME003-011/B3,-193,-194,-2.5367,-2.4017,8,15
BEND 6 of BRANCH /P-ME003-011/B3,-192,-193,-2.5367,-2.5367,8,15
STRT 5 of BRANCH /P-ME003-011/B3,-191,-192,-2.6718,-2.5367,8,15
BEND 5 of BRANCH /P-ME003-011/B3,-190,-191,-2.6718,-2.6718,8,15
BEND 4 of BRANCH /P-ME003-011/B3,-189,-190,-2.6718,-2.6718,8,15
BEND 3 of BRANCH /P-ME003-011/B3,-182,-189,-2.6728,-2.6718,8,15
FLEXIBLE 1 of BRANCH /P-ME003-011/B4,-187,-188,-5.8635,0,1006,16
STRT 3 of BRANCH /P-ME003-011/B4,-186,-187,-6.2649,-5.8635,6,16
BEND 2 of BRANCH /P-ME003-011/B4,-185,-186,-6.2649,-6.2649,6,16
STRT 2 of BRANCH /P-ME003-011/B4,-184,-185,-6.7305,-6.2649,6,16
BEND 1 of BRANCH /P-ME003-011/B4,-183,-184,-6.7305,-6.7305,6,16
STRT 1 of BRANCH /P-ME003-011/B4,-182,-183,-7.1335,-6.7305,6,16
TEE 2 of BRANCH /P-ME003-011/B3,-182,-182,-7.1335,-2.6728,-8888,17
TEE 2 of BRANCH /P-ME003-011/B3,-181,-182,-7.5148,-7.1335,6,18
BEND 2 of BRANCH /P-ME003-011/B3,-180,-181,-7.5148,-7.5148,6,18
STRT 4 of BRANCH /P-ME003-011/B3,-179,-180,-14.0716,-7.5148,6,18
BEND 1 of BRANCH /P-ME003-011/B3,-178,-179,-14.0716,-14.0716,6,18
