
=469784171/31063,=469784171/21391,STRT 2 of BRANCH /P-ME003-H32AF/B2,STRT,STRA,CIRC,100,DIAM,100,DIAM,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,/HHI-HVAC-SPEC/HA-UR100,,,,,,,,,,,,,,,,,,,,,89713,35,21308,89713,-105,21308,0,0,0,0,0,0
=469784171/21391,=469792363/4284,TAPER 1 of BRANCH /P-ME003-H32AF/B2,TAPE,REDU,CIRC,160,DIAM,100,DIAM,0,0,75,0,0,0,0,0,0,0,0,-21,-21,0,-21,-21,0,,,,,,/HHI-HVAC-SPEC/HA-F160X100,,,,,,,,,,,,,,,,,,,,,89713,-180,21308,89713,-105,21308,0,0,0,0,0,0
=469792363/4284,190 (Suction),FLEXIBLE 1 of BRANCH /P-ME003-H32AF/B2,FLEX,WELD,CIRC,160,DIAM,160,DIAM,0,0,0,0,90,82,0,0,0,0,0,0,0,0,0,0,0,,,,,,/HHI-HVAC-SPEC/HA-UFDB160,,,,,,,,,,,,,,,,,,,,,89713,-190,21308,89713,-500,21148,190,Suction,,1,1,0
=469784170/44669,=469784170/69868,STRT 1 of BRANCH /T-AR007-H22-901/B2,STRT,STRA,RECT,400,300,400,300,0,0,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,/HHI-HVAC-SPEC/RSTRA,,,,,,,,,,,,,,,,,,,,,90225,2430,19157,90225,2430,18850,0,0,0,0,0,0
=469784170/69868,=469784170/69924,STRT 1 of BRANCH /T-ME003-022/B1,STRT,STRA,RECT,400,300,400,300,0,0,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,/HHI-HVAC-SPEC/RSTRA,,,,,,,,,,,,,,,,,,,,,90225,2430,18847,90225,2430,18437,0,0,0,0,0,0
=469784170/69924,=469784170/38731,STRT 2 of BRANCH /T-ME003-022/B1,STRT,STRA,CIRC,158,DIAM,158,DIAM,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,/HHI-HVAC-SPEC/CSTRA,,,,,,,,,,,,,,,,,,,,,90280,2580,18395,90280,2630,18395,0,0,0,0,0,0
=469784170/69924,=469792362/16897,STRT 2 of BRANCH /T-ME003-022/B1,STRT,STRA,CIRC,158,DIAM,158,DIAM,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,/HHI-HVAC-SPEC/CSTRA,,,,,,,,,,,,,,,,,,,,,90280,2580,18395,90280,2630,18395,0,0,0,0,0,0
=469784170/69924,=469784170/62613,STRT 2 of BRANCH /T-ME003-022/B1,STRT,STRA,CIRC,158,DIAM,158,DIAM,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,/HHI-HVAC-SPEC/CSTRA,,,,,,,,,,,,,,,,,,,,,90280,2580,18395,90280,2630,18395,0,0,0,0,0,0
=469784170/38731,=469784170/44576,TAPER 1 of BRANCH /T-ME003-022/B1,TAPE,TAPR,RECT,400,300,250,300,0,0,200,0,0,0,0,0,-75,0,0,-20,-20,0,0,0,0,,,,,,/HHI-HVAC-SPEC/RTAPER,,,,,,,,,,,,,,,,,,,,,90225,2430,18437,90300,2430,18237,0,0,0,0,0,0
=469784170/44576,=469784170/69865,STRT 4 of BRANCH /T-ME003-022/B1,STRT,STRA,RECT,300,250,300,250,0,0,1277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,/HHI-HVAC-SPEC/RSTRA,,,,,,,,,,,,,,,,,,,,,90300,2430,18237,90300,2430,16960,0,0,0,0,0,0
