=469792362/15884,STRT 2 of BRANCH /P-ME003-H22A-001/B1,1,=469792362/15881,1,=469784170/62615,,,,,,,,12,640.000,EXTRACT,,,,,,,,,,,,,,,,,,,,
=469784170/62615,BEND 2 of BRANCH /P-ME003-H22A-001/B1,1,=469792362/15884,1,=469784170/47367,,,,,,,,13,640.000,EXTRACT,,,,,,90.000,1.000,,,,,,,,,,,,,
=469784170/47359,DAMPER 1 of BRANCH /P-ME003-H22A-901/B1,1,=469784170/60175,1,=469792362/16888,,,,,,,,13,780.000,EXTRACT,,,,,A-15G,0,,,,,,,,,,,,,,
=469792362/16888,STRT 1 of BRANCH /P-ME003-H22A-006/B1,1,=469784170/47359,1,=469784170/40510,,,,,,,,14,780.000,EXTRACT,,,,,,,,,,,,,,,,,,,,
=469784170/40510,BEND 1 of BRANCH /P-ME003-H22A-006/B1,1,=469792362/16888,1,=469792362/15801,,,,,,,,15,780.000,EXTRACT,,,,,,90.000,1.000,,,,,,,,,,,,,
=469792362/15801,STRT 2 of BRANCH /P-ME003-H22A-006/B1,1,=469784170/40510,1,=469784170/62601,,,,,,,,16,780.000,EXTRACT,,,,,,,,,,,,,,,,,,,,
=469784170/62601,BEND 2 of BRANCH /P-ME003-H22A-006/B1,1,=469792362/15801,1,=469792362/15803,,,,,,,,17,780.000,EXTRACT,,,,,,30.000,1.000,,,,,,,,,,,,,
=469792362/15803,STRT 3 of BRANCH /P-ME003-H22A-006/B1,1,=469784170/62601,1,=469784170/62603,,,,,,,,18,780.000,EXTRACT,,,,,,,,,,,,,,,,,,,,
=469784170/62603,BEND 3 of BRANCH /P-ME003-H22A-006/B1,1,=469792362/15803,1,=469792362/16890,,,,,,,,19,780.000,EXTRACT,,,,,,30.000,1.000,,,,,,,,,,,,,
=469792362/16890,STRT 4 of BRANCH /P-ME003-H22A-006/B1,1,=469784170/62603,1,=469784170/62604,,,,,,,,20,780.000,EXTRACT,,,,,,,,,,,,,,,,,,,,
=469784170/62604,BEND 4 of BRANCH /P-ME003-H22A-006/B1,1,=469792362/16890,1,=469784170/62597,,,,,,,,21,780.000,EXTRACT,,,,,,30.000,1.000,,,,,,,,,,,,,
=469784170/62597,STRT 5 of BRANCH /P-ME003-H22A-006/B1,1,=469784170/62604,1,=469800554/2126,,,,,,,,22,780.000,EXTRACT,,,,,,,,,,,,,,,,,,,,
=469800554/2126,BEND 5 of BRANCH /P-ME003-H22A-006/B1,1,=469784170/62597,1,=469792362/15936,,,,,,,,23,780.000,EXTRACT,,,,,,15.000,1.000,,,,,,,,,,,,,
=469792362/15936,STRT 6 of BRANCH /P-ME003-H22A-006/B1,1,=469800554/2126,1,=469800554/2131,,,,,,,,24,780.000,EXTRACT,,,,,,,,,,,,,,,,,,,,
=469800554/2131,BEND 6 of BRANCH /P-ME003-H22A-006/B1,1,=469792362/15936,1,=469792362/15938,,,,,,,,25,780.000,EXTRACT,,,,,,15.000,1.000,,,,,,,,,,,,,
=469792362/15938,STRT 7 of BRANCH /P-ME003-H22A-006/B1,1,=469800554/2131,1,=469792362/16928,,,,,,,,26,780.000,EXTRACT,,,,,,,,,,,,,,,,,,,,
=469792362/16928,STRT 8 of BRANCH /P-ME003-H22A-006/B1,1,=469792362/15938,1,=469792362/16891,,,,,,,,27,780.000,EXTRACT,,,,,,,,,,,,,,,,,,,,
=469792362/16891,STRT 9 of BRANCH /P-ME003-H22A-006/B1,1,=469792362/16928,1,=469800554/2137,,,,,,,,28,780.000,EXTRACT,,,,,,,,,,,,,,,,,,,,
=469800554/2137,BEND 7 of BRANCH /P-ME003-H22A-006/B1,1,=469792362/16891,1,=469792362/15934,,,,,,,,29,780.000,EXTRACT,,,,,,15.000,1.000,,,,,,,,,,,,,
=469792362/15934,STRT 10 of BRANCH /P-ME003-H22A-006/B1,1,=469800554/2137,1,=469800554/2140,,,,,,,,30,780.000,EXTRACT,,,,,,,,,,,,,,,,,,,,
=469800554/2140,BEND 8 of BRANCH /P-ME003-H22A-006/B1,1,=469792362/15934,1,=469784170/69992,,,,,,,,31,780.000,EXTRACT,,,,,,15.000,1.000,,,,,,,,,,,,,
=469784170/69992,STRT 11 of BRANCH /P-ME003-H22A-006/B1,1,=469800554/2140,1,=469784170/69995,,,,,,,,32,780.000,EXTRACT,,,,,,,,,,,,,,,,,,,,
=469784170/69995,TEE 1 of BRANCH /P-ME003-H22A-006/B1,1,=469784170/69992,2,=469784170/70041,=469784170/69999,,,,,,,33,780.000,EXTRACT,,,,,,,,,,,,,,,,,,,,
=469784170/69999,TAPER 1 of BRANCH /P-ME003-H22A-006/B1,1,=469784170/69995,1,=469784170/70028,,,,,,,,34,460.000,EXTRACT,,,,,ED4-1,26.000,0.610,,,,,,,,ED5-3,S,,,,
=469784170/70028,STRT 12 of BRANCH /P-ME003-H22A-006/B1,1,=469784170/69999,1,=469784170/70000,,,,,,,,35,460.000,EXTRACT,,,,,,,,,,,,,,,,,,,,
=469784170/70000,BEND 9 of BRANCH /P-ME003-H22A-006/B1,1,=469784170/70028,1,=469792362/16893,,,,,,,,36,460.000,EXTRACT,,,,,,90.000,1.000,,,,,,,,,,,,,
=469792362/16893,STRT 13 of BRANCH /P-ME003-H22A-006/B1,1,=469784170/70000,1,=469784170/70032,,,,,,,,37,460.000,EXTRACT,,,,,,,,,,,,,,,,,,,,
=469784170/70032,BEND 10 of BRANCH /P-ME003-H22A-006/B1,1,=469792362/16893,1,=469792362/16894,,,,,,,,38,460.000,EXTRACT,,,,,,45.000,1.000,,,,,,,,,,,,,
=469792362/16894,STRT 14 of BRANCH /P-ME003-H22A-006/B1,1,=469784170/70032,1,=469784170/70035,,,,,,,,39,460.000,EXTRACT,,,,,,,,,,,,,,,,,,,,
=469784170/70035,BEND 11 of BRANCH /P-ME003-H22A-006/B1,1,=469792362/16894,1,=469792362/16895,,,,,,,,40,460.000,EXTRACT,,,,,,45.000,1.000,,,,,,,,,,,,,
=469792362/16895,STRT 15 of BRANCH /P-ME003-H22A-006/B1,1,=469784170/70035,1,=469784170/44513,,,,,,,,41,460.000,EXTRACT,,,,,,,,,,,,,,,,,,,,
=469784170/70041,STRT 1 of BRANCH /P-ME003-H22A-008/B1,1,=469784170/69995,1,=469784170/44508,,,,,,,,34,320.000,EXTRACT,,,,,,,,,,,,,,,ED5-3,B,,,,
=469784170/44508,BEND 1 of BRANCH /P-ME003-H22A-008/B1,1,=469784170/70041,1,=469784170/70044,,,,,,,,35,320.000,EXTRACT,,,,,,30.000,1.000,,,,,,,,,,,,,
=469784170/70044,STRT 2 of BRANCH /P-ME003-H22A-008/B1,1,=469784170/44508,1,=469784170/44509,,,,,,,,36,320.000,EXTRACT,,,,,,,,,,,,,,,,,,,,
=469784170/44509,BEND 2 of BRANCH /P-ME003-H22A-008/B1,1,=469784170/70044,1,=469784170/70045,,,,,,,,37,320.000,EXTRACT,,,,,,30.000,1.000,,,,,,,,,,,,,
=469784170/70045,STRT 3 of BRANCH /P-ME003-H22A-008/B1,1,=469784170/44509,1,=469800554/2044,,,,,,,,38,320.000,EXTRACT,,,,,,,,,,,,,,,,,,,,
=469800554/2044,BEND 3 of BRANCH /P-ME003-H22A-008/B1,1,=469784170/70045,1,=469800554/2054,,,,,,,,39,320.000,EXTRACT,,,,,,30.000,1.000,,,,,,,,,,,,,
=469800554/2054,STRT 4 of BRANCH /P-ME003-H22A-008/B1,1,=469800554/2044,1,=469800554/2045,,,,,,,,40,320.000,EXTRACT,,,,,,,,,,,,,,,,,,,,
=469800554/2045,BEND 4 of BRANCH /P-ME003-H22A-008/B1,1,=469800554/2054,1,=469800554/2055,,,,,,,,41,320.000,EXTRACT,,,,,,30.000,1.000,,,,,,,,,,,,,
=469800554/2055,STRT 5 of BRANCH /P-ME003-H22A-008/B1,1,=469800554/2045,1,=469800554/2051,,,,,,,,42,320.000,EXTRACT,,,,,,,,,,,,,,,,,,,,
=469800554/2051,TEE 1 of BRANCH /P-ME003-H22A-008/B1,1,=469800554/2055,2,=469784170/40641,=469800554/2056,,,,,,,43,320.000,EXTRACT,,,,,,,,,,,,,,,,,,,,
=469800554/2056,STRT 6 of BRANCH /P-ME003-H22A-008/B1,1,=469800554/2051,1,=469784170/41472,,,,,,,,44,240.000,EXTRACT,,,,,,,,,,,,,,,ED5-3,S,,,,
=469784170/44513,BEND 1 of BRANCH /P-ME003-H22A-007/B1,1,=469792362/16895,1,=469792362/15791,,,,,,,,42,460.000,EXTRACT,,,,,,30.000,1.000,,,,,,,,,,,,,
=469792362/15791,STRT 1 of BRANCH /P-ME003-H22A-007/B1,1,=469784170/44513,1,=469784170/44514,,,,,,,,43,460.000,EXTRACT,,,,,,,,,,,,,,,,,,,,
=469784170/44514,BEND 2 of BRANCH /P-ME003-H22A-007/B1,1,=469792362/15791,1,=469792362/16957,,,,,,,,44,460.000,EXTRACT,,,,,,30.000,1.000,,,,,,,,,,,,,
=469792362/16957,STRT 2 of BRANCH /P-ME003-H22A-007/B1,1,=469784170/44514,1,=469784170/62698,,,,,,,,45,460.000,EXTRACT,,,,,,,,,,,,,,,,,,,,
=469784170/62698,BEND 3 of BRANCH /P-ME003-H22A-007/B1,1,=469792362/16957,1,=469800554/2060,,,,,,,,46,460.000,EXTRACT,,,,,,30.000,1.000,,,,,,,,,,,,,
=469800554/2060,STRT 3 of BRANCH /P-ME003-H22A-007/B1,1,=469784170/62698,1,=469784170/62699,,,,,,,,47,460.000,EXTRACT,,,,,,,,,,,,,,,,,,,,
=469784170/62699,BEND 4 of BRANCH /P-ME003-H22A-007/B1,1,=469800554/2060,1,=469800554/2061,,,,,,,,48,460.000,EXTRACT,,,,,,30.000,1.000,,,,,,,,,,,,,
=469800554/2061,STRT 4 of BRANCH /P-ME003-H22A-007/B1,1,=469784170/62699,1,=469784170/40551,,,,,,,,49,460.000,EXTRACT,,,,,,,,,,,,,,,,,,,,
=469784170/40551,TEE 1 of BRANCH /P-ME003-H22A-007/B1,1,=469800554/2061,2,=469784170/40644,=469792362/12894,,,,,,,50,460.000,EXTRACT,,,,,,,,,,,,,,,,,,,,
=469792362/12894,STRT 5 of BRANCH /P-ME003-H22A-007/B1,1,=469784170/40551,1,=469784170/40557,,,,,,,,51,380.000,EXTRACT,,,,,,,,,,,,,,,ED5-3,S,,,,
