=469784169/90563,TEE 1 of BRANCH /P-ME003-013/B6,,=469784169/90562,,,,,,,,,,,160,,,5.7,-3,0.4
=469784169/90562,STRT 2 of BRANCH /P-ME003-013/B6,,=469784169/90561,,,,,,,,,,,160,,,5.7,-8.3,5.3
=469784169/90561,BEND 1 of BRANCH /P-ME003-013/B6,,=469784169/90560,,,,,,,,,,,160,,,5.7,-8.3,0
=469784169/90560,STRT 1 of BRANCH /P-ME003-013/B6,,=469784169/90548,,,,,,,,,,,160,,,5.7,-8.9,0.6
=469784169/90548,TEE 1 of BRANCH /P-ME003-013/B1,,=469784169/101900,,,,,,,,,,,300,,,10.6,-52.3,1.2
=469784169/101900,STRT 3 of BRANCH /P-ME003-013/B1,,=469784169/90547,,,,,,,,,,,300,,,10.6,-56.9,4.6
=469784169/90547,STRT 2 of BRANCH /P-ME003-013/B1,,=469784169/101898,,,,,,,,,,,300,,,10.6,-90.7,33.7
=469784169/101898,STRT 1 of BRANCH /P-ME003-013/B1,,=469784169/90545,,,,,,,,,,,300,,,10.6,-95.7,5
=469784169/90545,STRT 4 of BRANCH /P-ME003-001/B12,,=469784169/90540,,,,,,,,,,,300,,,10.6,-169.5,73.8
=469784169/90540,TAPER 1 of BRANCH /P-ME003-001/B12,,=469784169/90536,,,,,,,,,,,300,,,10.6,-178.7,9.2
=469784169/90555,FLEXIBLE 1 of BRANCH /P-ME003-001/B15,,=469784169/94894,,,,,,,,,,,80,,,2.8,-2.4,2.4
=469784169/94894,BEND 2 of BRANCH /P-ME003-001/B15,,=469784169/90554,,,,,,,,,,,80,,,2.8,-2.4,0
=469784169/90554,STRT 3 of BRANCH /P-ME003-001/B15,,=469784169/90553,,,,,,,,,,,80,,,2.8,-2.6,0.2
=469784169/90558,FLEXIBLE 1 of BRANCH /P-ME003-001/B16,,=469784169/94898,,,,,,,,,,,80,,,2.8,-2.4,2.4
=469784169/94898,BEND 1 of BRANCH /P-ME003-001/B16,,=469784169/90557,,,,,,,,,,,80,,,2.8,-2.4,0
=469784169/90557,STRT 1 of BRANCH /P-ME003-001/B16,,=469784169/90553,,,,,,,,,,,80,,,2.8,-2.6,0.2
=469784169/90553,TEE 1 of BRANCH /P-ME003-001/B15,,=469784169/90552,,,,,,,,,,,160,,,5.7,-3,0.4
=469784169/90552,STRT 2 of BRANCH /P-ME003-001/B15,,=469784169/90551,,,,,,,,,,,160,,,5.7,-7.6,4.7
=469784169/90551,BEND 1 of BRANCH /P-ME003-001/B15,,=469784169/90550,,,,,,,,,,,160,,,5.7,-7.6,0
=469784169/90550,STRT 1 of BRANCH /P-ME003-001/B15,,=469784169/90536,,,,,,,,,,,160,,,5.7,-8.2,0.5
=469784169/90536,TEE 1 of BRANCH /P-ME003-001/B12,,=469792361/37816,,,,,,,,,,,460,,,10.4,-179.7,1
=469792361/37816,STRT 3 of BRANCH /P-ME003-001/B12,,=469784169/90783,,,,,,,,,,,460,,,10.4,-193.2,13.5
=469784169/90783,BEND 2 of BRANCH /P-ME003-001/B12,,=469792361/37815,,,,,,,,,,,460,,,10.4,-193.2,0
=469792361/37815,STRT 2 of BRANCH /P-ME003-001/B12,,=469784169/90782,,,,,,,,,,,460,,,10.4,-195.6,2.4
=469784169/90782,BEND 1 of BRANCH /P-ME003-001/B12,,=469784169/90776,,,,,,,,,,,460,,,10.4,-195.6,0
=469784169/90776,STRT 1 of BRANCH /P-ME003-001/B12,,=469784169/94892,,,,,,,,,,,460,,,10.4,-212,16.5
=469784169/94892,DAMPER 1 of BRANCH /P-ME003-901/B4,,=469784169/90781,,,,,,,,,,,460,,,10.4,-246.8,34.8
=469784169/90781,BEND 2 of BRANCH /P-ME003-001/B14,,=469792361/37814,,,,,,,,,,,460,,,10.4,-246.8,0
=469792361/37814,STRT 2 of BRANCH /P-ME003-001/B14,,=469784169/90780,,,,,,,,,,,460,,,10.4,-249.1,2.3
=469784169/90780,BEND 1 of BRANCH /P-ME003-001/B14,,=469784169/90529,,,,,,,,,,,460,,,10.4,-249.1,0
=469784169/90529,STRT 1 of BRANCH /P-ME003-001/B14,,=469792361/39906,,,,,,,,,,,460,,,10.4,-255.5,6.4
=469792361/39906,BEND 8 of BRANCH /P-ME003-001/B10,,=469792361/39907,,,,,,,,,,,460,,,10.4,-255.5,0
=469792361/39907,STRT 10 of BRANCH /P-ME003-001/B10,,=469792361/39903,,,,,,,,,,,460,,,10.4,-259.9,4.3
=469792361/39903,TAPER 1 of BRANCH /P-ME003-001/B10,,=469792361/39891,,,,,,,,,,,460,,,10.4,-274.3,14.4
=469784169/93963,FLEXIBLE 1 of BRANCH /P-ME003-011/B3,,=469792361/41888,,,,,,,,,,,80,,,2.8,-2.4,2.4
=469792361/41888,STRT 6 of BRANCH /P-ME003-011/B3,,=469792361/41886,,,,,,,,,,,80,,,2.8,-2.5,0.1
=469792361/41886,BEND 6 of BRANCH /P-ME003-011/B3,,=469792361/41882,,,,,,,,,,,80,,,2.8,-2.5,0
=469792361/41882,STRT 5 of BRANCH /P-ME003-011/B3,,=469784169/94018,,,,,,,,,,,80,,,2.8,-2.7,0.1
=469784169/94018,BEND 5 of BRANCH /P-ME003-011/B3,,=469784169/94017,,,,,,,,,,,80,,,2.8,-2.7,0
=469784169/94017,BEND 4 of BRANCH /P-ME003-011/B3,,=469784169/94016,,,,,,,,,,,80,,,2.8,-2.7,0
=469784169/94016,BEND 3 of BRANCH /P-ME003-011/B3,,=469784169/93959,,,,,,,,,,,80,,,2.8,-2.7,0
=469784169/93965,FLEXIBLE 1 of BRANCH /P-ME003-011/B4,,=469784169/94015,,,,,,,,,,,80,,,4.4,-5.9,5.9
=469784169/94015,STRT 3 of BRANCH /P-ME003-011/B4,,=469792361/41895,,,,,,,,,,,80,,,4.4,-6.3,0.4
=469792361/41895,BEND 2 of BRANCH /P-ME003-011/B4,,=469792361/44130,,,,,,,,,,,80,,,4.4,-6.3,0
=469792361/44130,STRT 2 of BRANCH /P-ME003-011/B4,,=469792361/41894,,,,,,,,,,,80,,,4.4,-6.7,0.5
=469792361/41894,BEND 1 of BRANCH /P-ME003-011/B4,,=469792361/41890,,,,,,,,,,,80,,,4.4,-6.7,0
=469792361/41890,STRT 1 of BRANCH /P-ME003-011/B4,,=469784169/93959,,,,,,,,,,,80,,,4.4,-7.1,0.4
=469784169/93959,TEE 2 of BRANCH /P-ME003-011/B3,,=469784169/94013,,,,,,,,,,,160,,,5.7,-7.5,0.4
=469784169/94013,BEND 2 of BRANCH /P-ME003-011/B3,,=469784169/93958,,,,,,,,,,,160,,,5.7,-7.5,0
=469784169/93958,STRT 4 of BRANCH /P-ME003-011/B3,,=469784169/93957,,,,,,,,,,,160,,,5.7,-14.1,6.6
=469784169/93957,BEND 1 of BRANCH /P-ME003-011/B3,,=469784169/93956,,,,,,,,,,,160,,,5.7,-14.1,0
=469784169/93956,STRT 3 of BRANCH /P-ME003-011/B3,,=469784169/93955,,,,,,,,,,,160,,,5.7,-31.3,17.2
=469784169/93955,DAMPER 1 of BRANCH /P-ME003-011/B3,,=469784169/93954,,,,,,,,,,,160,,,5.7,-41.8,10.6
=469784169/93954,STRT 2 of BRANCH /P-ME003-011/B3,,=469784169/93953,,,,,,,,,,,160,,,5.7,-58.5,16.6
=469784169/93970,FLEXIBLE 1 of BRANCH /P-ME003-011/B5,,=469784169/93969,,,,,,,,,,,80,,,2.8,-2.4,2.4
=469784169/93969,STRT 2 of BRANCH /P-ME003-011/B5,,=469784169/93968,,,,,,,,,,,80,,,2.8,-3.8,1.4
=469784169/93968,BEND 1 of BRANCH /P-ME003-011/B5,,=469784169/93967,,,,,,,,,,,80,,,2.8,-3.8,0
=469784169/93967,STRT 1 of BRANCH /P-ME003-011/B5,,=469784169/93953,,,,,,,,,,,80,,,2.8,-3.9,0.2
=469784169/93953,TEE 1 of BRANCH /P-ME003-011/B3,,=469784169/93952,,,,,,,,,,,240,,,8.5,-59.3,0.8
=469784169/93952,STRT 1 of BRANCH /P-ME003-011/B3,,=469784169/90571,,,,,,,,,,,240,,,8.5,-62.2,2.9
=469784169/90571,STRT 4 of BRANCH /P-ME003-001/B11,,=469784169/90567,,,,,,,,,,,240,,,8.5,-65.7,3.5
=469784169/90593,FLEXIBLE 1 of BRANCH /P-ME003-001/B13,,=469784169/90592,,,,,,,,,,,80,,,2.8,-2.4,2.4
=469784169/90592,STRT 2 of BRANCH /P-ME003-001/B13,,=469784169/90591,,,,,,,,,,,80,,,2.8,-3.8,1.4
=469784169/90591,BEND 1 of BRANCH /P-ME003-001/B13,,=469784169/90590,,,,,,,,,,,80,,,2.8,-3.8,0
=469784169/90590,STRT 1 of BRANCH /P-ME003-001/B13,,=469784169/90567,,,,,,,,,,,80,,,2.8,-3.9,0.1
=469784169/90567,TEE 1 of BRANCH /P-ME003-001/B11,,=469784169/90570,,,,,,,,,,,320,,,11.3,-67.1,1.4
=469784169/90570,STRT 3 of BRANCH /P-ME003-001/B11,,=469792361/39897,,,,,,,,,,,320,,,11.3,-91.4,24.3
=469792361/39897,BEND 2 of BRANCH /P-ME003-001/B11,,=469792361/39900,,,,,,,,,,,320,,,11.3,-91.4,0
=469792361/39900,STRT 2 of BRANCH /P-ME003-001/B11,,=469792361/39896,,,,,,,,,,,320,,,11.3,-106.3,14.9
=469792361/39896,BEND 1 of BRANCH /P-ME003-001/B11,,=469792361/39894,,,,,,,,,,,320,,,11.3,-106.3,0
=469792361/39894,STRT 1 of BRANCH /P-ME003-001/B11,,=469792361/39891,,,,,,,,,,,320,,,11.3,-124.5,18.2
=469792361/39891,TEE 1 of BRANCH /P-ME003-001/B10,,=469784169/94888,,,,,,,,,,,780,,,10.8,-275.3,1
=469784169/94888,STRT 9 of BRANCH /P-ME003-001/B10,,=469784169/94883,,,,,,,,,,,780,,,10.8,-287.7,12.4
=469784169/94883,BEND 7 of BRANCH /P-ME003-001/B10,,=469784169/94886,,,,,,,,,,,780,,,10.8,-287.7,0
=469784169/94886,STRT 8 of BRANCH /P-ME003-001/B10,,=469784169/94882,,,,,,,,,,,780,,,10.8,-289.8,2.2
=469784169/94882,BEND 6 of BRANCH /P-ME003-001/B10,,=469784169/94872,,,,,,,,,,,780,,,10.8,-289.8,0
=469784169/94872,STRT 7 of BRANCH /P-ME003-001/B10,,=469784169/94878,,,,,,,,,,,780,,,10.8,-315.7,25.8
