No.,SecID,Name,Qflow[m3/h],Qflow[m3/h],SecType,Width[mm],Height[mm],Diam[m],Equiv. Diam[m],Vel[m/s],Pvel[Pa],Length[mm],Rough,DP/L[Pa/m],DP_Fric[Pa],FITTING T,Para1,Para2,Corr,C[-],DP[Pa],FITTING S1,Para1,Para2,Para3,Corr,C[-],DP[Pa],FITTING S2,Para1,Para2,Para3,Corr,C[-],DP[Pa],FITTING S3,Para1,Para2,Para3,Corr,C[-],DP[Pa],FITTING S4,Para1,Para2,Para3,Corr,C[-],DP[Pa],DP_Total[Pa],DP_Unbal[Pa],RoomP[Pa],Pres[Pa],Psum[Pa],56,57,58,59,TreeID,TreeLevel,BranLevel,BranID,ElemID,PathInfo,cDesc
-445 ,¡¡ ¡¡ ¡¡ ¡¡ BEND 2 of BRANCH /P-ME003-001/B17, =469784169/90619,690,690,CIRC,0,0,160,160,9.5327,54.5236,0,0.09,0,0,,0,0,0,0,0,,90,1,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,-116.1212,55.215,,,,,-9,22,4,71,4,-33,BEND 2 of BRANCH /P-ME003-001/B17
-444 ,¡¡ ¡¡ ¡¡ ¡¡ STRT 2 of BRANCH /P-ME003-001/B17, =469792361/37818,690,690,CIRC,0,0,160,160,9.5327,54.5236,668,0.09,7.003,4.678,,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,4.678,0,0,-120.7993,55.215,,,,,-9,21,4,71,3,-33,STRT 2 of BRANCH /P-ME003-001/B17
-443 ,¡¡ ¡¡ ¡¡ ¡¡ BEND 1 of BRANCH /P-ME003-001/B17, =469784169/90618,690,690,CIRC,0,0,160,160,9.5327,54.5236,0,0.09,0,0,,0,0,0,0,0,,90,1,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,-120.7993,50.537,,,,,-9,20,4,71,2,-33,BEND 1 of BRANCH /P-ME003-001/B17
-442 ,¡¡ ¡¡ ¡¡ ¦£ STRT 1 of BRANCH /P-ME003-001/B17, =469784169/90616,690,690,CIRC,0,0,160,160,9.5327,54.5236,590,0.09,7.003,4.1318,ED5-3(B),0,0,0,-2.2701e-05,-0.0012378,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,4.1305,295.6288,0,-124.9298,50.537,,,,,-3,19,4,71,1,-33,STRT 1 of BRANCH /P-ME003-001/B17
-441 ,¡¡ ¡¡ ¡¡ ¦¢ ¡¡ ¡¡ ¡¡ STRT (=469784169/91986), C=469784169/91986,140,140,CIRC,0,0,100,100,4.9515,14.7103,10,0.09,3.7292,0.037293,,0,0,0,0,0,,0,0,0,0,0,0,SUCTION,0.5,0,0,0,0.5,7.3552,,0,0,0,0,0,0,,0,0,0,0,0,0,7.3925,0,0,-7.3925,466.9651,,,,,-1,80,7,70,21,-1001,STRT (=469784169/91986)
-440 ,¡¡ ¡¡ ¡¡ ¦¢ ¡¡ ¡¡ ¡¡ STRT 3 of BRANCH /P-ME003-013/B7, =469784169/91986,140,140,CIRC,0,0,100,100,4.9515,14.7103,109,0.09,3.7293,0.40649,,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0.40649,0,0,-7.799,459.5726,,,,,-9,79,7,70,20,-1,STRT 3 of BRANCH /P-ME003-013/B7
-439 ,¡¡ ¡¡ ¡¡ ¦¢ ¡¡ ¡¡ ¡¡ BEND 1 of BRANCH /P-ME003-013/B7, =469784169/84812,140,140,CIRC,0,0,100,100,4.9515,14.7103,0,0.09,0,0,,0,0,0,0,0,,90,1,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,-7.799,459.1661,,,,,-9,78,7,70,19,-1,BEND 1 of BRANCH /P-ME003-013/B7
-438 ,¡¡ ¡¡ ¡¡ ¦¢ ¡¡ ¡¡ ¡¡ STRT 2 of BRANCH /P-ME003-013/B7, =469800553/5041,140,140,CIRC,0,0,100,100,4.9515,14.7103,1050,0.09,3.7293,3.9157,,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,3.9157,0,0,-11.7147,459.1661,,,,,-9,77,7,70,18,-1,STRT 2 of BRANCH /P-ME003-013/B7
-437 ,¡¡ ¡¡ ¡¡ ¦¢ ¡¡ ¡¡ ¡¡ DAMPER 1 of BRANCH /P-ME003-013/B7, =469784169/84810,140,140,CIRC,0,0,100,100,4.9515,14.7103,140,0.09,3.7293,0.5221,,0,0,0,0,0,A-15G,0,0,0,0,0.5,7.3552,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,7.8773,0,0,-19.592,455.2504,,,,,-9,76,7,70,17,-1,DAMPER 1 of BRANCH /P-ME003-013/B7
-436 ,¡¡ ¡¡ ¡¡ ¦¢ ¡¡ ¡¡ ¡¡ STRT 1 of BRANCH /P-ME003-013/B7, =469784169/96307,140,140,CIRC,0,0,100,100,4.9515,14.7103,340,0.09,3.7293,1.268,,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,1.268,0,0,-20.8599,447.3731,,,,,-9,75,7,70,16,-1,STRT 1 of BRANCH /P-ME003-013/B7
